date,puissance
2016-09-17 16:00:00+02:00,519.2444444445333
2016-09-17 17:00:00+02:00,465.71666666666664
2016-09-17 18:00:00+02:00,472.3555555555334
2016-09-17 19:00:00+02:00,507.31111111113336
2016-09-17 20:00:00+02:00,508.18333333333334
2016-09-17 21:00:00+02:00,510.1055555555334
2016-09-17 22:00:00+02:00,609.4388888889333
2016-09-17 23:00:00+02:00,550.2611111111665
2016-09-18 00:00:00+02:00,471.9833333332667
2016-09-18 01:00:00+02:00,436.9722222221667
2016-09-18 02:00:00+02:00,402.9166666667
2016-09-18 03:00:00+02:00,403.64444444440005
2016-09-18 04:00:00+02:00,399.37777777773334
2016-09-18 05:00:00+02:00,335.33888888896666
2016-09-18 06:00:00+02:00,330.84444444446666
2016-09-18 07:00:00+02:00,356.5777777778
2016-09-18 08:00:00+02:00,444.51111111116666
2016-09-18 09:00:00+02:00,477.04444444443334
2016-09-18 10:00:00+02:00,509.7333333332667
2016-09-18 11:00:00+02:00,552.6111111111
2016-09-18 12:00:00+02:00,589.3555555555666
2016-09-18 13:00:00+02:00,611.3888888889
2016-09-18 14:00:00+02:00,615.8222222221667
2016-09-18 15:00:00+02:00,584.1444444444
2016-09-18 16:00:00+02:00,525.7388888888667
2016-09-18 17:00:00+02:00,474.20555555550004
2016-09-18 18:00:00+02:00,475.4777777778
2016-09-18 19:00:00+02:00,498.8
2016-09-18 20:00:00+02:00,497.2722222221667
2016-09-18 21:00:00+02:00,497.5166666666667
2016-09-18 22:00:00+02:00,610.0111111111
2016-09-18 23:00:00+02:00,562.0666666666666
2016-09-19 00:00:00+02:00,469.3999999999334
2016-09-19 01:00:00+02:00,427.0222222221667
2016-09-19 02:00:00+02:00,400.1055555555666
2016-09-19 03:00:00+02:00,398.1111111111333
2016-09-19 04:00:00+02:00,393.7555555556334
2016-09-19 05:00:00+02:00,329.0555555555333
2016-09-19 06:00:00+02:00,319.35555555559995
2016-09-19 07:00:00+02:00,362.6388888888667
2016-09-19 08:00:00+02:00,435.1666666667
2016-09-19 09:00:00+02:00,468.72777777783335
2016-09-19 10:00:00+02:00,512.8333333333666
2016-09-19 11:00:00+02:00,549.4722222221001
2016-09-19 12:00:00+02:00,580.138888889
2016-09-19 13:00:00+02:00,600.7833333332666
2016-09-19 14:00:00+02:00,619.9833333332666
2016-09-19 15:00:00+02:00,598.6722222221666
2016-09-19 16:00:00+02:00,538.75
